sigma,rho,beta
5.439067534705914,23.173434186996012,2.620756810441884
12.847909027088127,33.053817589958925,4.526313247621672
14.133250413930648,36.66433653964221,5.961817352622232
6.417390215858134,31.526044709028305,4.19201949248728
8.82698963664356,30.05094574863046,5.08825258128649
10.220735178319286,39.905560023211834,5.838747023319352
9.28960831956625,33.33962479681972,3.9511613520269844
12.160862905566486,23.347539765214233,5.381837377953147
8.793910336955104,20.469432294205923,4.741501744143348
5.306539103386836,35.58539708383438,2.603124100200267
